ID,Text,Sentiment,Offensive Word,Category,Intensity
1,You're acting like an idiot again today.,Negative,idiot,Insult,High
2,Why do you look so weird every morning?,Negative,weird,Body Shaming,Medium
3,Nobody wants to sit with you because you're annoying.,Negative,annoying,Social Manipulation,Medium
4,Women shouldn't try to take leadership roles.,Negative,none,Sexist Remark,High
5,"You're so lazy, it's embarrassing.",Negative,lazy,Workplace Belittling,Medium
6,Your behavior is pathetic during class.,Negative,pathetic,Insult,High
7,You talk too much and it's irritating.,Negative,irritating,Sarcasm/Mockery,Medium
8,"Your grades are awful, do you even try?",Negative,awful,Academic Shaming,Medium
9,You're such a clown when you talk like that.,Negative,clown,Insult,Low
10,"No offense, but you act really dumb sometimes.",Negative,dumb,Insult,Medium
11,Your ideas are useless and disorganized.,Negative,useless,Workplace Belittling,High
12,Why do you walk like that? It's strange.,Negative,strange,Body Shaming,Medium
13,Boys shouldn't act emotional like you.,Negative,none,Sexist Remark,Medium
14,You're a freak for laughing at everything.,Negative,freak,Insult,High
15,You're too slow; it's painful to watch.,Negative,none,Workplace Belittling,Medium
16,Stop being a jerk to everyone today.,Negative,jerk,Insult,Low
17,You look ridiculous in that outfit.,Negative,ridiculous,Body Shaming,Medium
18,No one trusts you because you act creepy.,Negative,creepy,Insult,Medium
19,Everyone thinks you're a weirdo.,Negative,weirdo,Social Manipulation,High
20,Your handwriting is embarrassing.,Negative,none,Academic Shaming,Low
21,You're acting like a loser again.,Negative,loser,Insult,High
22,People like you always mess things up.,Negative,none,Racist-coded Harassment,Medium
23,You smell strange today.,Negative,strange,Body Shaming,Low
24,You're useless at everything you try.,Negative,useless,Insult,High
25,Girls should stay quiet during discussions.,Negative,none,Sexist Remark,High
26,You're so annoying when you complain.,Negative,annoying,Sarcasm/Mockery,Medium
27,Your excuses are pathetic every time.,Negative,pathetic,Insult,Medium
28,You look tired and sloppy today.,Negative,sloppy,Body Shaming,Low
29,You always ruin everything; it's ridiculous.,Negative,ridiculous,Insult,High
30,You act like a clown in every meeting.,Negative,clown,Workplace Belittling,Low
31,Only an idiot would think like that.,Negative,idiot,Insult,High
32,Your haircut makes you look weird.,Negative,weird,Body Shaming,Medium
33,Stop being annoying and bothering everyone.,Negative,annoying,Social Manipulation,Medium
34,Women are too emotional to lead projects.,Negative,none,Sexist Remark,High
35,You are lazy and never finish tasks.,Negative,lazy,Workplace Belittling,Low
36,"Your behavior is pathetic, honestly.",Negative,pathetic,Insult,High
37,That attitude is so irritating.,Negative,irritating,Sarcasm/Mockery,Medium
38,Your grades are awful; try harder.,Negative,awful,Academic Shaming,Medium
39,You are acting like a clown again.,Negative,clown,Insult,Low
40,That was a dumb thing to say.,Negative,dumb,Insult,Medium
41,You're completely useless in this team.,Negative,useless,Workplace Belittling,High
42,Your outfit looks strange today.,Negative,strange,Body Shaming,Medium
43,Men are always better at math than women.,Negative,none,Sexist Remark,Medium
